"Polys","Fishable_area"
"486_3",915
"882_4",14806.5
"883_1",4753.5
"486_2",9039.5
"486_4",10469.5
"486_5",8404.5
"5841_1",10058.25
"5841_2",10469
"5841_3",10777.25
"5841_4",1971
"5841_5",7293
"5841_6",10246
"5842_1",6920.5
"5843a_1",25254.75
"882_1",11549.25
"882_2",11982.5
"882_3",8617.25
"883_2",7269.5
"883_3",14579
"883_4",10699.75
"883_5",1864
"482_N",17015.75
"482_S",2398.25
"883_6",3419.25
"883_7",18163.5
"883_8",956.5
"883_9",1.75
"5844b_1",4191.25
"5844b_2",6143
"883_10",0
"481_1",3674.75
"481_2",9703.25
"481_3",3876.5
"882H",2846
"RSR_open",82616.5
"HIMI",114980.5
