"Polys","Fishable_area"
"486_3",943.37
"882_4",14387.41
"883_1",3851.97
"486_2",9330.55
"486_4",10511.03
"486_5",8390.91
"5841_1",7772.05
"5841_2",8200.6
"5841_3",9965.44
"5841_4",2134.57
"5841_5",5280.97
"5841_6",10609.58
"5842_1",7067.88
"5843a_1",31658.45
"882_1",11800.57
"882_2",10476.76
"882_3",8447.47
"883_2",7347
"883_3",12200.13
"883_4",9126.46
"482_N",17102.19
"482_S",2459.99
"883_5",1839.93
"883_6",10445.33
"5844b_1",4062.02
"5844b_2",6202.48
"883_7",16814.11
"481_2",9505.91
"883_8",896.02
"5842_2",7251.45
"883_9",8.68
"883_10",0
"481_1",3710.95
"481_3",4034.57
"883_11",2381.96
"883_12",3022.52
"882H",3597.7
"HIMI",111177.34
"RSR_open",87142.2
