"Polys","Fishable_area"
"481_1",3706.1
"481_2",9502.72
"481_3",4040.07
"482_N",17020.89
"482_S",2433.32
"486_2",9393.91
"486_3",694
"486_4",10455.9
"486_5",8386.85
"5841_1",9048.86
"5841_2",8905.62
"5841_3",10139.33
"5841_4",2644.73
"5841_5",5350.72
"5841_6",11038.76
"5842_1",7087.65
"5842_2",8563.51
"5843a_1",32067.1
"5844b_1",4697.11
"5844b_2",6323.67
"882_1",8955.08
"882_2",9982.87
"882_3",8436.82
"882_4",14413.75
"883_1",3837.76
"883_10",0
"883_11",2387.34
"883_12",3037.49
"883_2",7354.11
"883_3",12195.43
"883_4",9178.59
"883_5",1848.85
"883_6",10373
"883_7",16931.5
"883_8",892.44
"883_9",11.51
"882H",3614.81
"HIMI",111194.67
"RSR_open",87371.53
