"Polys","Fishable_area"
"486_3",905.24
"882_4",14499.3
"883_1",3902.59
"486_2",9166.31
"486_4",10399.44
"486_5",8314.12
"5841_1",7590.94
"5841_2",8068.63
"5841_3",10268.31
"5841_4",2100.63
"5841_5",5281.7
"5841_6",10566.93
"5842_1",6902.87
"5843a_1",31463.29
"882_1",11990.27
"882_2",10567.96
"882_3",8414.98
"883_2",7654.63
"883_3",12162.28
"883_4",8027.49
"883_5",1892.53
"482_N",16841.19
"482_S",2375.72
"883_6",9597.57
"883_7",17166.35
"883_8",887.82
"883_9",8.59
"5844b_1",4048.33
"5844b_2",6210.4
"883_10",0
"481_2",9508.83
"5842_2",7363.44
"481_1",3716.62
"481_3",3985.02
"882H",3518.3
"HIMI",113616.34
"RSR_open",85736.79
