"Polys","Fishable_area"
"486_3",905.47
"882_4",14773.7
"883_1",4732.11
"486_2",9016.79
"486_4",10444.94
"486_5",8426.64
"5841_1",10012.17
"5841_2",10444.83
"5841_3",10759.07
"5841_4",1954.83
"5841_5",7273.64
"5841_6",10214.72
"5842_1",6901.17
"5843a_1",25245.42
"882_1",11558.77
"882_2",11973.79
"882_3",8606.74
"883_2",7243.24
"883_3",14567.59
"883_4",10644.95
"883_5",1849.36
"482_N",17004.02
"482_S",2399.88
"883_6",3405.52
"883_7",18131.46
"883_8",944.53
"883_9",1.89
"5844b_1",4203.92
"5844b_2",6129
"883_10",0
"481_1",3693.51
"481_2",9572.21
"481_3",3988.04
"5842_2",7369.39
"882H",2845.65
"HIMI",114947.31
"RSR_open",82508.01
