"Polys","Fishable_area"
"486_3",909.07
"882_4",14517.1
"883_1",3897.08
"486_2",9182.53
"486_4",10398.7
"486_5",8305.06
"5841_1",7580.27
"5841_2",8067.51
"5841_3",10261.41
"5841_4",2100.29
"5841_5",5284.31
"5841_6",10562.2
"5842_1",6901.85
"5843a_1",31460.69
"882_1",11980.99
"882_2",10566.16
"882_3",8416.72
"883_2",7651.85
"883_3",12167.85
"883_4",8036.35
"883_5",1890.38
"482_N",16846.91
"482_S",2387.13
"883_6",9599.18
"883_7",17172.4
"883_8",883.39
"883_9",8.78
"5844b_1",4047.29
"5844b_2",6208.52
"883_10",0
"481_2",9505.17
"5842_2",7366.41
"481_1",3714.82
"481_3",3983.75
"882H",3527.53
"HIMI",114008.37
"RSR_open",85748.34
