"Polys","Fishable_area"
"486_3",909.42
"882_4",15058.11
"883_1",4066.96
"486_2",9291.56
"486_4",10444.95
"486_5",8306.78
"5841_1",7646.19
"5841_2",8065.41
"5841_3",10261.11
"5841_4",2099.56
"5841_5",5313.3
"5841_6",10561.55
"5842_1",6895.7
"5843a_1",31471.11
"882_1",12066.02
"882_2",10554.24
"882_3",8495.6
"883_2",7538.19
"883_3",12323.07
"883_4",8052.3
"883_5",1915.37
"482_N",16954.45
"482_S",2377.1
"883_6",9586.9
"883_7",16951.61
"883_8",883.31
"883_9",8.68
"5844b_1",4054.35
"5844b_2",6205.67
"883_10",0
"481_1",3704.53
"481_2",9509.06
"481_3",3969.9
"5842_2",7347.16
"882H",3396.83
"HIMI",113804.23
"RSR_open",87034.04
