"RB","S","nRB","n5km","n1fsr","n2fsr"
"486_5",2018,9,1,1,1
"5841_5",2016,1,0,0,1
"5843a_1",2013,10,0,2,2
"5843a_1",2017,3,0,0,3
"5844b_1",2014,5,0,0,4
"5844b_1",2015,10,0,0,3
"5844b_1",2016,3,0,0,1
"5844b_1",2017,7,0,0,4
"5844b_2",2016,2,0,0,-1
"5844b_2",2017,5,0,0,-4
"5844b_2",2018,3,0,0,-1
"882_2",2023,10,0,0,2
"882_2",2024,81,0,0,3
"882_3",2024,8,0,0,-3
